Entity,Code,Year,Shareofpopulationlivinginurbanareas(%),GDPpercapita(2011int-$)($),Totalpopulation(Gapminder)
Jordan,JOR,2016,90.506,11748,
Kazakhstan,KAZ,2016,57.264,23399,
Kenya,KEN,2016,26.105,3214,
Kiribati,KIR,2016,52.45,,
Kuwait,KWT,2016,100,67798,
Kyrgyzstan,KGZ,2016,35.944,6065,
Laos,LAO,2016,33.736,6324,
Latin America Maddison definition,,2016,,13470,
Latin America and the Caribbean,,2016,80.17581772832787,,
Latvia,LVA,2016,68.021,23362,
Least developed countries,,2016,32.50139979007808,,
Lebanon,LBN,2016,88.266,12683,
Lesotho,LSO,2016,27.317,3015,
Less developed regions,,2016,49.54114729291385,,
"Less developed regions, excluding China",,2016,47.20583185912688,,
"Less developed regions, excluding least developed countries",,2016,52.73145934292267,,
Liberia,LBR,2016,50.254,764,
Libya,LBY,2016,79.54,8096,
Liechtenstein,LIE,2016,14.303,,
Lithuania,LTU,2016,67.366,26182,
Low-income countries,,2016,31.35912430867984,,
Lower-middle-income countries,,2016,39.70182096186601,,
Luxembourg,LUX,2016,90.46,69057,
Macao,MAC,2016,100,,
Macedonia,MKD,2016,57.563,13887,
Madagascar,MDG,2016,35.856,1307,
Malawi,MWI,2016,16.506,950,
Malaysia,MYS,2016,74.84,22687,
Maldives,MDV,2016,38.954,,
Mali,MLI,2016,40.783,1604,
Malta,MLT,2016,94.48,27612,
Marshall Islands,MHL,2016,76.228,,
Martinique,MTQ,2016,88.995,,
Mauritania,MRT,2016,51.962,3307,
Mauritius,MUS,2016,40.91,18852,
Mayotte,MYT,2016,46.676,,
Melanesia,OWID_MNS,2016,19.22227075395836,,
Mexico,MEX,2016,79.577,15803,
Micronesia (country),FSM,2016,22.526,,
Micronesia (subregion),,2016,68.20326970164402,,
Middle Africa,,2016,48.4389962509281,,
Middle-income countries,,2016,51.42234185683478,,
Moldova,MDA,2016,42.511,5851,
Monaco,MCO,2016,100,,
Mongolia,MNG,2016,68.297,11105,
Montenegro,MNE,2016,66.141,18244,
Montserrat,MSR,2016,9.041,,
More developed regions,,2016,78.30445839700721,,
Morocco,MAR,2016,61.36,7613,
Mozambique,MOZ,2016,34.926,1288,
Myanmar,MMR,2016,30.082,6139,
Namibia,NAM,2016,47.961,11741,
Nauru,NRU,2016,100,,
Nepal,NPL,2016,18.942,2586,
Netherlands,NLD,2016,90.635,49254,
New Caledonia,NCL,2016,69.821,,
New Zealand,NZL,2016,86.4,34040,
Nicaragua,NIC,2016,58.09,4872,
Niger,NER,2016,16.29,906,
Nigeria,NGA,2016,48.683,5323,
Niue,NIU,2016,43.318,,
North Korea,PRK,2016,61.471,,
Northern Africa,,2016,51.5822263701528,,
Northern America,,2016,81.80924428115478,,
Northern Europe,,2016,81.6701414319742,,
Northern Mariana Islands,MNP,2016,91.443,,
Norway,NOR,2016,81.485,76397,
Oceania,,2016,68.13375791351748,,
Oman,OMN,2016,82.5,36883,
Pakistan,PAK,2016,36.234,5250,
Palau,PLW,2016,78.775,,
Palestine,PSE,2016,75.628,,
Panama,PAN,2016,67.027,21538,
Papua New Guinea,PNG,2016,13.05,,
Paraguay,PRY,2016,61.026,8605,
Peru,PER,2016,77.539,11540,
Philippines,PHL,2016,46.475,7223,
Poland,POL,2016,60.178,26002,
Polynesia,OWID_PYA,2016,44.49969545084283,,
Portugal,PRT,2016,64.086,27726,
Puerto Rico,PRI,2016,93.602,35082,
Qatar,QAT,2016,99.015,139783,
Reunion,REU,2016,99.429,,
Romania,ROU,2016,53.9,18913,
Russia,RUS,2016,74.164,23064,
Rwanda,RWA,2016,17.056,1741,
Saint Helena,SHN,2016,39.608,,
Saint Kitts and Nevis,KNA,2016,30.79,,
Saint Lucia,LCA,2016,18.558,10737,
Saint Pierre and Miquelon,SPM,2016,89.892,,
Saint Vincent and the Grenadines,VCT,2016,51.373,,
Samoa,WSM,2016,18.681,,
San Marino,SMR,2016,96.91,,
Sao Tome and Principe,STP,2016,71.092,3640,
Saudi Arabia,SAU,2016,83.401,47474,
Senegal,SEN,2016,46.296,2544,
Serbia,SRB,2016,55.81,14001,
Seychelles,SYC,2016,55.831,24856,
Sierra Leone,SLE,2016,41.228,1070,
Singapore,SGP,2016,100,67180,
Sint Maarten (Dutch part),SXM,2016,100,,
Slovakia,SVK,2016,53.806,26713,
Slovenia,SVN,2016,54.02,28761,
Solomon Islands,SLB,2016,22.823,,
Somalia,SOM,2016,43.816,,
South Africa,ZAF,2016,65.341,11949,
South America,,2016,83.72578002099064,,
South Korea,KOR,2016,81.562,36151,
South Sudan,SSD,2016,19.092,,
South-Central Asia,,2016,35.38058325081141,,
South-Eastern Asia,,2016,47.74334828958967,,
Southern Africa,,2016,62.58295211258756,,
Southern Asia,,2016,34.89876527769174,,
Southern Europe,,2016,70.89952365580375,,
Spain,ESP,2016,79.84,31556,
Sri Lanka,LKA,2016,18.311,11118,
Sub-Saharan Africa,,2016,39.30538182415351,,
Sudan,SDN,2016,34.121,3750,
Suriname,SUR,2016,66.04,,
Swaziland,SWZ,2016,23.459,7641,
Sweden,SWE,2016,86.852,44371,
Switzerland,CHE,2016,73.739,61844,
Syria,SYR,2016,52.835,3557,
Taiwan,TWN,2016,77.337,42304,
Tajikistan,TJK,2016,26.851,3544,
Tanzania,TZA,2016,32.333,2518,
Thailand,THA,2016,48.448,14341,
Timor,TLS,2016,29.85,,
Togo,TGO,2016,40.628,1515,
Tokelau,TKL,2016,0,,
Tonga,TON,2016,23.222,,
Trinidad and Tobago,TTO,2016,53.25,29358,
Tunisia,TUN,2016,68.346,10621,
Turkey,TUR,2016,74.134,18784,
Turkmenistan,TKM,2016,50.728,22328,
Turks and Caicos Islands,TCA,2016,92.517,,
Tuvalu,TUV,2016,60.645,,
Uganda,UGA,2016,22.624,1909,
Ukraine,UKR,2016,69.154,9694,
United Arab Emirates,ARE,2016,85.965,70284,
United Kingdom,GBR,2016,82.886,39162,
United States,USA,2016,81.862,53015,
United States Virgin Islands,VIR,2016,95.48,,
Upper-middle-income countries,,2016,64.9679492944682,,
Uruguay,URY,2016,95.144,19896,
Uzbekistan,UZB,2016,50.65,9726,
Vanuatu,VUT,2016,25.062,,
Vatican,VAT,2016,100,,
Venezuela,VEN,2016,88.165,13159,
Vietnam,VNM,2016,34.51,6031,
Wallis and Futuna,WLF,2016,0,,
Western Africa,,2016,45.10083430641257,,
Western Asia,,2016,70.82154676237774,,
Western Asia Maddison definition,,2016,,20891,
Western Europe,,2016,79.53617443903455,,
Western Europe Maddison definition,,2016,,40364,
Western Offshoots Maddison definition,,2016,,51342,
Western Sahara,ESH,2016,86.563,,
World,OWID_WRL,2016,54.38157369891691,14574,
Yemen,YEM,2016,35.394,2199,
Zambia,ZMB,2016,42.438,3538,
Zimbabwe,ZWE,2016,32.296,1729,
